"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Aguilar-Soto M.; Robinson-García N.; Vargas-Quesada B.","Aguilar-Soto, María (54683391200); Robinson-García, Nicolás (36712349900); Vargas-Quesada, Benjamín (8666139000)","54683391200; 36712349900; 8666139000","Altmetrics for the identification of scientific controversies: The case of NeuroGenderings and neurosexism; [Altmétricas para la identificación de controversias científicas: el caso de NeuroGenderings y el neurosexismo]","2023","Profesional de la Informacion","32","6","e320610","","","","0","10.3145/epi.2023.nov.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177769684&doi=10.3145%2fepi.2023.nov.10&partnerID=40&md5=b251b3ee7894d8803a052cabf5289e69","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85177769684"
"Kunze K.N.; Manzi J.E.; Polce E.M.; Vadhera A.; Bhandari M.; Piuzzi N.S.","Kunze, Kyle Nash (57202689199); Manzi, Joseph Emanuele (57210389472); Polce, Evan Michael (57215781383); Vadhera, Amar (57215818478); Bhandari, Mohit (7102621894); Piuzzi, Nicolas Santiago (56111756900)","57202689199; 57210389472; 57215781383; 57215818478; 7102621894; 56111756900","High social media attention scores are not reflective of study quality: an altmetrics-based content analysis","2022","Internal and Emergency Medicine","17","5","","1363","1374","11","12","10.1007/s11739-022-02939-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124390779&doi=10.1007%2fs11739-022-02939-5&partnerID=40&md5=2ef1cf18b87389e7a3af7b221f740885","Article","Final","","Scopus","2-s2.0-85124390779"
"Ravipati A.; Pradeep T.; Tosti A.","Ravipati, Advaitaa (56348898900); Pradeep, Tejus (57208895913); Tosti, Antonella (7102086687)","56348898900; 57208895913; 7102086687","The 100 Most Cited Androgenetic Alopecia Articles: An Analysis of Altmetrics Data from 2015 to 2022","2024","Skin Appendage Disorders","10","5","","370","375","5","1","10.1159/000538913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194110332&doi=10.1159%2f000538913&partnerID=40&md5=f19982271aa8ff78ea4e427920587229","Article","Final","","Scopus","2-s2.0-85194110332"
"Sabri H.; Nava P.; Barootchi S.; Tavelli L.; Monje A.; Nart J.; Wang H.-L.; Saleh M.H.A.","Sabri, Hamoun (57329433800); Nava, Paolo (59043694400); Barootchi, Shayan (57203813073); Tavelli, Lorenzo (57203813984); Monje, Alberto (55376950900); Nart, José (18038044800); Wang, Hom-Lay (57211369838); Saleh, Muhammad H. A. (57201322560)","57329433800; 59043694400; 57203813073; 57203813984; 55376950900; 18038044800; 57211369838; 57201322560","25 years of Clinical Implant Dentistry and Related Research (CIDRR): A modern bibliometric and Altmetrics network analysis","2024","Clinical Implant Dentistry and Related Research","26","5","","862","878","16","0","10.1111/cid.13335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192272402&doi=10.1111%2fcid.13335&partnerID=40&md5=8bd94045d6e5a16e75a145d065f989db","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85192272402"
"Da Silva J.A.T.; Yamada Y.","Da Silva, Jaime A. Teixeira (57200162051); Yamada, Yuki (55375527500)","57200162051; 55375527500","Reflection on ResearchGate's Terminating ResearchGate Score, and Interest Score, as Social Media Altmetrics and Academic Evaluation Tools","2023","Journal of Scholarly Publishing","54","2","","239","259","20","0","10.3138/jsp-2022-0043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159122057&doi=10.3138%2fjsp-2022-0043&partnerID=40&md5=28f58f6ef8c35c618c8762b7043fd004","Article","Final","","Scopus","2-s2.0-85159122057"
"Shakeel Y.; Alchokr R.; Krüger J.; Leich T.; Saake G.","Shakeel, Yusra (57200395570); Alchokr, Rand (57443670800); Krüger, Jacob (57191578129); Leich, Thomas (13005454000); Saake, Gunter (7004621677)","57200395570; 57443670800; 57191578129; 13005454000; 7004621677","Incorporating Altmetrics to Support Selection and Assessment of Publications during Literature Analyses","2022","ACM International Conference Proceeding Series","","","","180","189","9","3","10.1145/3530019.3530038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132368307&doi=10.1145%2f3530019.3530038&partnerID=40&md5=c3ec9d53f1a5f1f12c0265314c2709a9","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132368307"
"Zhang X.; Wang X.; Zhao H.; de Pablos P.O.; Sun Y.; Xiong H.","Zhang, Xi (56076466600); Wang, Xianhai (57208333807); Zhao, Hongke (56718821800); de Pablos, Patricia Ordóñez (24334594300); Sun, Yongqiang (55737741700); Xiong, Hui (7201935465)","56076466600; 57208333807; 56718821800; 24334594300; 55737741700; 7201935465","Correction to: An effectiveness analysis of altmetrics indices for different levels of artificial intelligence publications (Scientometrics, (2019), 119, 3, (1311-1344), 10.1007/s11192-019-03088-x)","2022","Scientometrics","127","3","","1657","","","0","10.1007/s11192-021-04146-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114391863&doi=10.1007%2fs11192-021-04146-z&partnerID=40&md5=e53b06c788419ee9e0abe2a19c9368d1","Erratum","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85114391863"
"Mubarak M.; Seemee S.","Mubarak, Muhammed (57212735118); Seemee, Shabana (57313311600)","57212735118; 57313311600","Beyond the citation counts: An insight into altmetrics","2022","Journal of the College of Physicians and Surgeons Pakistan","32","11","","1379","1380","1","0","10.29271/jcpsp.2022.11.1379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141229242&doi=10.29271%2fjcpsp.2022.11.1379&partnerID=40&md5=e4e20369bcedee9e02876d189ee003a3","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85141229242"
"Bangani S.; Onyancha O.B.","Bangani, Siviwe (57196458975); Onyancha, Omwoyo Bosire (23397584400)","57196458975; 23397584400","An altmetrics study of researchers at North-West University","2023","Information Services for a Sustainable Society: Current Developments in an Era of Information Disorder","","","","274","296","22","0","10.1515/9783110772753-020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173103153&doi=10.1515%2f9783110772753-020&partnerID=40&md5=e89b5ba225aa7114375ab1ae80e11b1f","Book chapter","Final","","Scopus","2-s2.0-85173103153"
"Casciato D.J.; Olivová J.; Singh B.N.","Casciato, Dominick J. (57205595446); Olivová, Jana (57224321967); Singh, Bibi N. (57204714276)","57205595446; 57224321967; 57204714276","Association Between Altmetrics and Traditional Bibliometrics in the Journal of the American Podiatric Medical Association and The Journal of Foot and Ankle Surgery","2024","Journal of the American Podiatric Medical Association","114","1","","","","","1","10.7547/21-006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187204443&doi=10.7547%2f21-006&partnerID=40&md5=9d28fcf18e7573c6c99ecb411de90460","Article","Final","","Scopus","2-s2.0-85187204443"
"Sahu D.; Poduval M.","Sahu, Dipit (57196905778); Poduval, Murali (24329717800)","57196905778; 24329717800","Altmetrics and Impact Factor: Relevance to the Orthopaedic Community","2022","Indian Journal of Orthopaedics","56","7","","1109","1111","2","3","10.1007/s43465-022-00659-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130817252&doi=10.1007%2fs43465-022-00659-8&partnerID=40&md5=cd5fd1bc9ea701eeead1e63b3e541250","Editorial","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85130817252"
"Wilches-Visbal J.H.; Castillo-Pedraza M.C.","Wilches-Visbal, Jorge Homero (57218174872); Castillo-Pedraza, Midian Clara (57195835600)","57218174872; 57195835600","Bibliometrics Indicators: Impact and Altmetrics for an Extensive and Equitable Assessment of Colombian Scientific Journals; [Indicadores bibliométricos: impacto y altmetrics para una evaluación amplia y equitativa de las revistas científicas de Colombia]","2022","MedUNAB","25","1","","5","8","3","5","10.29375/01237047.4363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130185495&doi=10.29375%2f01237047.4363&partnerID=40&md5=8f2530e623554e031eed4bb7f972a277","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85130185495"
"Vander Putten J.","Vander Putten, Jim (6508242532)","6508242532","The Research Impact of Articles Published in the Journal of College Student Development Viewed Using Altmetrics","2022","Innovative Higher Education","47","6","","927","945","18","0","10.1007/s10755-022-09637-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141950978&doi=10.1007%2fs10755-022-09637-2&partnerID=40&md5=e2f1269edd0251fb85fe638f21800570","Article","Final","","Scopus","2-s2.0-85141950978"
"Hu W.; Shi J.; Nan X.","Hu, Wenqian (58928987000); Shi, Jin (57043815700); Nan, Xia (56783804300)","58928987000; 57043815700; 56783804300","Research on Impact Evaluation of University Rankings Based on Altmetrics; [基于替代计量学的世界大学排行榜影响力评价研究]","2022","Journal of Modern Information","42","9","","132","142","10","0","10.3969/j.issn.1008-0821.2022.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187251219&doi=10.3969%2fj.issn.1008-0821.2022.09.013&partnerID=40&md5=2cd95b6ca2c6a5fe051c41725d91d2ef","Article","Final","","Scopus","2-s2.0-85187251219"
"Shakeel Y.; Alchokr R.; Kruger J.; Leich T.; Saake G.","Shakeel, Yusra (57200395570); Alchokr, Rand (57443670800); Kruger, Jacob (57191578129); Leich, Thomas (13005454000); Saake, Gunter (7004621677)","57200395570; 57443670800; 57191578129; 13005454000; 7004621677","Altmetrics and citation counts: An empirical analysis of the computer science domain","2022","Proceedings of the ACM/IEEE Joint Conference on Digital Libraries","","","17","","","","8","10.1145/3529372.3530939","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132415468&doi=10.1145%2f3529372.3530939&partnerID=40&md5=d6956d0eb7fe4cc2255a65fb8082509f","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132415468"
"Tornberg H.; Moezinia C.; Wei C.; Bernstein S.A.; Wei C.; Al-Beyati R.; Quan T.; Diemert D.J.","Tornberg, Haley (57216225403); Moezinia, Carine (57218221321); Wei, Chapman (57202300138); Bernstein, Simone A. (57215865607); Wei, Chaplin (57204149612); Al-Beyati, Refka (57221716400); Quan, Theodore (57211948905); Diemert, David J. (13105389800)","57216225403; 57218221321; 57202300138; 57215865607; 57204149612; 57221716400; 57211948905; 13105389800","Assessment of the Dissemination of COVID-19–Related Articles Across Social Media: Altmetrics Study","2023","JMIR Formative Research","7","","e41388","","","","4","10.2196/41388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166088507&doi=10.2196%2f41388&partnerID=40&md5=ebfcbf038576dfa5036591587a4eac0d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166088507"
